"","year","area","street","street2","html"
"3269",2012,"birmingham","walmleyashrd","walmley ash rd",""
"3270",2012,"birmingham","WaterOrtonLane","water orton lane",""
"3271",2012,"birmingham","WilliamHillWyldeGreen"," william hill, wylde green",""
"3272",2012,"birmingham","WITTONLODGEROAD","witton lodge road",""
"3273",2012,"birmingham","WoodacreRoadErdington"," woodacre road, erdington",""
"3274",2012,"birmingham","WoodacreRoadErdington"," woodacre road, erdington",""
"3275",2012,"birmingham","WoodacreRoadErdington"," woodacre road, erdington",""
"3276",2012,"birmingham","WoodingtonRoad","woodington road",""
"3277",2012,"birmingham","WoottonGroveKingstandingBirmingham"," wootton grove, kingstanding, birmingham",""
"3278",2012,"birmingham","YatesburyAvenueCastleVale"," yatesbury avenue, castle vale",""
"3279",2012,"birmingham","ANorthfield","a38 northfield",""
"3280",2012,"birmingham","AbdonAve","abdon ave",""
"3281",2012,"birmingham","AlcesterRd","alcester rd",""
"3282",2012,"birmingham","alcesterroadsouth","alcester road south",""
"3283",2012,"birmingham","aldersmeadroad","aldersmead road",""
"3284",2012,"birmingham","alwoldroad","alwold road",""
"3285",2012,"birmingham","belgravemiddleway","belgrave middleway",""
"3286",2012,"birmingham","blackhorsepublichousecarpark","black horse public house carpark",""
"3287",2012,"birmingham","boleynroad","boleyn road",""
"3288",2012,"birmingham","bomerfieldroad","bomerfield road",""
"3289",2012,"birmingham","BondstCityCentre"," bond st, city centre",""
"3290",2012,"birmingham","BournvilleLane","bournville lane",""
"3291",2012,"birmingham","BournvilleLane","bournville lane",""
"3292",2012,"birmingham","BournvilleLaneFrontoffice","bournville lane front office",""
"3293",2012,"birmingham","bournvillelanepolicestation","bournville lane police station",""
"3294",2012,"birmingham","bournvilleps","bournville p.s.",""
"3295",2012,"birmingham","bournvillepolicestation","bournville police station",""
"3296",2012,"birmingham","bracebyavenue","braceby avenue",""
"3297",2012,"birmingham","brandwoodparkrd","brandwood park rd",""
"3298",2012,"birmingham","BristolRdSouthNorthfield"," bristol rd south, northfield",""
"3299",2012,"birmingham","BristolRoad","bristol road",""
"3300",2012,"birmingham","BristolRoad","bristol road",""
"3301",2012,"birmingham","bristolroad","bristol road",""
"3302",2012,"birmingham","bristolroad","bristol road",""
"3303",2012,"birmingham","BristolRoad","bristol road",""
"3304",2012,"birmingham","BristolRoad","bristol road",""
"3305",2012,"birmingham","bristolroad","bristol road",""
"3306",2012,"birmingham","bristolroad","bristol road",""
"3307",2012,"birmingham","bristolroad","bristol road",""
"3308",2012,"birmingham","BristolRoadNorthfield","bristol road northfield",""
"3309",2012,"birmingham","bristolroadoppositeroyalorthopaedic","bristol road opposite royal orthopaedic",""
"3310",2012,"birmingham","BristolRoadSellyOak","bristol road selly oak",""
"3311",2012,"birmingham","BristolRoadsellyOak","bristol road selly oak",""
"3312",2012,"birmingham","BristolRoadSellyOak","bristol road selly oak",""
"3313",2012,"birmingham","bristolroadsellyoak","bristol road selly oak",""
"3314",2012,"birmingham","BristolRoadsellyoak","bristol road selly oak",""
"3315",2012,"birmingham","bristolroadsellyoakneargunbarrelsPH","bristol road selly oak near gun barrels ph",""
"3316",2012,"birmingham","bristolroadsouth","bristol road south",""
"3317",2012,"birmingham","bristolroadsouth","bristol road south",""
"3318",2012,"birmingham","bristolroadbournville"," bristol road, bournville",""
"3319",2012,"birmingham","BristolRoadSellyOak"," bristol road, selly oak",""
"3320",2012,"birmingham","brooklanebillesley","brook lane billesley",""
"3321",2012,"birmingham","BrookfieldRoad","brookfield road",""
"3322",2012,"birmingham","BunburyRoad","bunbury road",""
"3323",2012,"birmingham","churchroad","church road",""
"3324",2012,"birmingham","ChurchRoadEdgbaston"," church road, edgbaston",""
"3325",2012,"birmingham","ChurchRoadMoseley"," church road, moseley",""
"3326",2012,"birmingham","cityroad","city road",""
"3327",2012,"birmingham","CornMillCloseBartleyGreen","corn mill close bartley green",""
"3328",2012,"birmingham","CotteridgeIsland","cotteridge island",""
"3329",2012,"birmingham","devonroad","devon road",""
"3330",2012,"birmingham","DogpoolLane","dogpool lane",""
"3331",2012,"birmingham","EachWayLaneRubery"," each way lane, rubery",""
"3332",2012,"birmingham","edgewoodroad","edgewood road",""
"3333",2012,"birmingham","edgwoodroad","edgwood road",""
"3334",2012,"birmingham","edwardroadbalsallheath"," edward road, balsall heath",""
"3335",2012,"birmingham","FordhouseLane","fordhouse lane",""
"3336",2012,"birmingham","FredrickRoad","fredrick road",""
